item_id,title,genres,description
1,The Matrix,"Sci-Fi, Action",A hacker discovers reality is a simulation controlled by machines
2,Inception,"Sci-Fi, Thriller",A thief who steals corporate secrets through dreams
3,Interstellar,"Sci-Fi, Drama",Explorers travel through a wormhole to save humanity
4,The Dark Knight,"Action, Crime",Batman fights a criminal mastermind in Gotham City
5,Pulp Fiction,"Crime, Drama",Multiple stories intertwine in Los Angeles underworld
6,Forrest Gump,"Drama, Comedy",A simple man witnesses key historical events in 20th century
7,The Shawshank Redemption,Drama,Two prison inmates bond and plan their escape
8,Fight Club,"Drama, Thriller",An underground fight club becomes a social network
9,Gladiator,"Action, Drama",A Roman general fights to survive as a slave
10,Avatar,"Sci-Fi, Adventure",A paraplegic marine battles in an alien world
